ClientID,Surname,Firstname,FICOScore,Subsidiary,Gender,Age,Balance,Products,BankCC,Active,RegDeposits,LifeInsur,PlatStatus,Terminated
61BOS20100LE82156051500919N,Lewitt,Everett,673,Boston,Male,45,128755,1,1,1,16005,0,0,0
61BOS20180KS26834637025901N,Kampe,Shelba,678,Boston,Female,69,91026,2,1,0,3141,0,0,1
61BOS20190LN58876381682471N,Ledee,Norberto,580,Boston,Male,30,-667,2,0,1,3248,0,0,0
40ATL20170FI92031193982332N,Ford,Irvin,813,Atlanta,Male,59,114372,1,1,0,8788,0,0,1
61BOS20160KM83487872779827N,Kamirez,Meagan,655,Boston,Female,38,59891,1,1,0,12067,0,0,0
91CHL20070RC47514884475203N,Rogriguez,Corey,745,Chapel Hill,Male,40,140714,1,1,0,2224,0,0,0
61BOS20080SO34159640341045N,Suaava,Odilia,619,Boston,Female,31,88218,2,0,1,3235,1,0,0
40ATL20140PM6840392060048P,Pavlat,Mose,705,Atlanta,Male,38,51200,2,1,1,13201,1,1,0
40ATL20170EH89781199556880N,Eagles,Hanh,617,Atlanta,Female,37,88525,2,1,0,16641,0,0,1
40ATL20190DG42531567104404N,Degollado,Gearldine,801,Atlanta,Female,55,125488,1,1,0,761,0,0,1
61BOS20090DA91439400484726N,Delaglio,Aaron,703,Boston,Male,63,121440,1,0,1,13896,0,0,0
91CHL20170AM17669448324056N,Avellano,Mac,683,Chapel Hill,Male,32,342,1,1,0,12310,0,0,0
40ATL20150KL5957159068903N,Kuamoo,Luther,696,Atlanta,Male,39,123856,1,0,1,2460,0,0,0
40ATL20190SG28768093398126N,Shasteen,German,562,Atlanta,Male,34,70447,1,1,1,17737,0,0,1
40ATL20070NA19225287863500P,Noggles,Azalee,476,Atlanta,Female,29,69455,2,1,1,15237,0,1,0
61BOS20110KF47470609164491N,Kohl,Fidel,702,Boston,Male,27,133919,1,1,0,7295,0,0,0
61BOS20150MI40365185653611P,Mullendore,Israel,670,Boston,Male,43,205,3,1,1,18212,1,1,0
91CHL20170AJ18462442104141N,Arriazola,Justin,605,Chapel Hill,Male,33,-218,2,0,1,7998,1,0,0
61BOS20160RH45283499173183N,Rasche,Hai,513,Boston,Male,45,104957,1,0,0,8173,0,0,0
61BOS20170MM85956594577216N,Mcbane,Magali,720,Boston,Female,47,0,2,0,0,15489,1,0,0
40ATL20100MF80439896706157N,Mcclammy,Fabian,524,Atlanta,Male,28,135669,1,0,1,16351,0,0,0
61BOS20120RU6040027399414N,Rehder,Ulysses,689,Boston,Male,32,0,1,0,0,5775,0,0,0
61BOS20170BE68650098583778N,Brunow,Elizbeth,688,Boston,Female,26,155231,2,1,1,1876,0,0,0
40ATL20170GK45491868354571N,Galiano,Kirk,580,Atlanta,Male,28,139222,1,0,0,10624,0,0,1
40ATL20090PA39734714206673N,Paywa,Avery,518,Atlanta,Male,40,96653,1,1,0,13024,0,0,0
61BOS20140DJ15473493483004N,Ditton,Joesph,636,Boston,Male,54,-314,3,0,0,8941,1,0,0
61BOS20100DG71879643012842N,Dobson,Georgianne,604,Boston,Female,41,87869,1,0,1,10158,0,0,0
61BOS20170LE92642929965453N,Luinstra,Elwood,591,Boston,Male,41,103093,1,1,1,4490,0,0,0
91CHL20160GK26161999568665N,Goates,Kendal,762,Chapel Hill,Female,41,105495,2,0,1,7084,1,0,0
40ATL20170CF73979666898404N,Churan,Fredda,753,Atlanta,Female,36,84635,1,1,0,9691,0,0,0
91CHL20110MN53577736791762P,Mancil,Nathanial,738,Chapel Hill,Male,32,64446,2,1,0,6116,1,1,0
61BOS20160CN92998612199330N,Camerino,Nelida,701,Boston,Female,30,62,1,0,0,7761,0,0,0
61BOS20140RH30717676669651N,Ruhmann,Hilario,718,Boston,Male,57,463,2,1,1,7086,0,0,1
40ATL20150KK25678734824510N,Kakani,Kristofer,678,Atlanta,Male,44,117653,2,1,0,303,1,0,0
40ATL20160KC76227042645652N,Kenison,Clarence,824,Atlanta,Male,44,115483,1,1,0,2464,0,0,1
91CHL20100BV98595072232076N,Bernath,Vince,681,Chapel Hill,Male,43,94057,1,0,0,3684,0,0,0
61BOS20140LD31282629844839N,Lavole,Dean,535,Boston,Female,39,-119,1,1,0,16039,0,0,1
61BOS20140DL72990552394904N,Durol,Louanne,627,Boston,Female,39,78240,1,1,1,7448,0,0,0
40ATL20170ZM92748714854443N,Zipperer,Malinda,509,Atlanta,Female,48,103924,1,1,1,1816,0,0,1
40ATL20120TM28840243745655N,Tyrone,Micheal,686,Atlanta,Male,44,99875,5,1,0,8841,0,0,1
91CHL20190DM55696513006361N,Doliveira,Marlena,638,Chapel Hill,Female,48,125183,1,1,0,18217,0,0,0
61BOS20180MM88695601613564N,Mayhall,Marisa,775,Boston,Female,47,87303,1,0,0,1904,0,0,1
61BOS20160TM76510981780327N,Tanguma,Mitchell,630,Boston,Female,43,137570,1,1,1,3944,0,0,0
40ATL20120CG56691975405543N,Cornn,Geoffrey,627,Atlanta,Male,42,88966,2,0,1,6080,1,0,0
91CHL20190KD66304830912442N,Keown,Davis,774,Chapel Hill,Male,37,939,2,0,0,7894,0,0,1
61BOS20160SS81107805281721P,Scopa,Sherice,582,Boston,Female,41,616,2,1,0,13783,1,1,0
61BOS20170BO5199288504021N,Bernaudo,Osvaldo,636,Boston,Male,27,81176,1,1,1,11584,0,0,0
91CHL20150CS263078132523N,Corren,Shannon,639,Chapel Hill,Male,38,376,2,1,1,3379,1,0,0
61BOS20160CD35870603637629N,Calcutt,Dale,660,Boston,Male,93,97215,2,1,1,3242,1,0,0
61BOS20130SJ93480439254625N,Shellenbarger,Jeanne,527,Boston,Female,41,119225,1,0,0,16063,0,0,0
61BOS20090CJ19977480568849P,Colpa,Jodee,432,Boston,Female,28,839,2,1,0,13675,0,1,0
91CHL20070PG28367690141307N,Perot,Guillermo,512,Chapel Hill,Male,34,10,1,0,1,15877,0,0,0
40ATL20180GK4950443933044N,Gauna,Kirk,487,Atlanta,Male,64,71629,1,0,0,8986,0,0,0
91CHL20070SD89759289958406N,Shreffler,Doug,692,Chapel Hill,Male,41,0,2,0,1,4470,1,0,0
40ATL20160AE33273317314252N,Abriola,Evita,592,Atlanta,Female,52,84890,1,1,0,3853,0,0,1
40ATL20170NA61940877565210P,Novinger,Alonzo,744,Atlanta,Male,39,88404,2,1,1,4371,1,1,0
61BOS20150CF66309098575934P,Chernich,Felicitas,584,Boston,Female,43,150642,2,1,0,14050,1,1,0
40ATL20170BA98246166482784N,Benally,Alberta,641,Atlanta,Female,23,106421,3,1,0,5344,0,0,1
91CHL20120BA78489142938157N,Bachelder,Alayna,428,Chapel Hill,Female,35,138896,1,1,1,2569,0,0,0
40ATL20180SD71108045036313P,Sansing,Deandre,532,Atlanta,Male,44,112639,2,1,0,12007,0,1,0
61BOS20180LC36237152987090N,Liano,Carmen,889,Boston,Female,50,0,1,1,1,6496,0,0,1
61BOS20110CC82276619313720N,Chiulli,Catarina,553,Boston,Female,36,86256,1,1,1,18222,0,0,0
40ATL20150CM7681940463764P,Calligaro,Marna,671,Atlanta,Female,43,192396,2,1,0,6158,1,1,0
40ATL20130SS5207379318492P,Schweder,Sebrina,477,Atlanta,Female,54,146564,2,1,1,7146,1,1,0
61BOS20160LE91952827559347P,Lard,Eunice,723,Boston,Female,22,0,2,1,0,4455,0,1,0
61BOS20190ER25852495036461N,Estronza,Ralph,915,Boston,Male,59,0,1,0,0,4995,0,0,1
91CHL20090FI72617539796517P,Fennelly,Iliana,556,Chapel Hill,Female,23,95931,2,1,0,8173,0,1,0
61BOS20150CC97342853113988N,Coulon,Charles,432,Boston,Male,29,86327,1,0,1,2625,0,0,0
91CHL20130ME24032100827192P,Manchel,Elmer,691,Chapel Hill,Male,24,566,2,1,0,12195,0,1,0
91CHL20100DK21562919871594N,Daoud,Kay,700,Chapel Hill,Female,33,406,2,1,0,1575,1,0,0
91CHL20090RC53384657986566P,Rapp,Contessa,572,Chapel Hill,Female,33,-947,2,1,1,9873,1,1,0
91CHL20110BK56425057430313P,Belfort,Kanisha,604,Chapel Hill,Female,28,63308,2,1,0,12813,0,1,0
61BOS20120TL99623530227969N,Tsau,Leah,648,Boston,Female,38,-544,2,1,0,1602,1,0,0
61BOS20100BL66207691871048N,Bakst,Lamont,680,Boston,Male,27,90328,1,1,0,4349,0,0,0
61BOS20130TE83504284169289N,Trantham,Elenora,669,Boston,Female,27,0,2,0,0,1202,0,0,0
61BOS20190ZR31442925936127N,Zegarra,Richie,732,Boston,Male,42,127,1,0,1,8645,0,0,1
91CHL20090LK72220092385019P,Livasy,Katerine,670,Chapel Hill,Female,37,42972,2,1,0,4035,1,1,0
91CHL20120DF30107029760488N,Ditsch,Fredric,604,Chapel Hill,Male,20,-888,2,0,1,14529,0,0,0
61BOS20160FD19507650796289P,Forker,Darell,625,Boston,Male,31,55,2,1,1,3829,1,1,0
40ATL20170ND2851008364454N,Nicklin,Domonique,571,Atlanta,Female,42,104149,1,0,1,13264,0,0,1
91CHL20090OT8573343581086N,Ordones,Terina,604,Chapel Hill,Female,40,131244,1,0,1,14303,0,0,0
91CHL20110GP3425349827985N,Gstohl,Pete,511,Chapel Hill,Male,40,133459,1,1,0,15535,0,0,0
61BOS20150AR76631807232327N,Altidor,Roselee,591,Boston,Female,31,174,2,1,0,259,1,0,0
91CHL20170DJ57259101728473N,Darlington,Jin,563,Chapel Hill,Female,56,-767,2,1,1,3132,1,0,0
61BOS20170VB46321843898625N,Viker,Bryanna,678,Boston,Female,38,75445,2,0,1,17806,1,0,0
40ATL20110TO30993500333513N,Tsing,Octavio,624,Atlanta,Male,54,157888,2,0,0,11283,1,0,0
61BOS20100HW5752515505490N,Hern,Winston,536,Boston,Male,31,123535,1,1,1,16868,0,0,0
40ATL20080RM95042962862528N,Raup,Maddie,556,Atlanta,Female,26,176332,1,1,0,7923,0,0,0
61BOS20090TL89275819258014N,Tumminello,Luther,720,Boston,Male,28,261,1,1,1,8245,0,0,0
40ATL20170JS6648444217909N,Jugo,Salley,493,Atlanta,Female,35,126907,2,0,0,3202,1,0,0
91CHL20090ZF20324519076503N,Zone,Frank,595,Chapel Hill,Male,37,133581,1,1,1,7710,0,0,0
61BOS20190BH29950020637719N,Buecher,Haywood,626,Boston,Male,48,116362,1,1,0,11332,0,0,1
61BOS20170MC2929723407033P,Mcglade,Cristobal,534,Boston,Male,39,-211,2,1,0,4464,1,1,0
40ATL20090JB68052810487522N,Jahns,Britt,537,Atlanta,Male,41,106835,1,0,0,4979,0,0,0
91CHL20100WE22997195882029N,Whitlach,Eugenio,567,Chapel Hill,Male,27,-366,2,1,0,775,0,0,0
91CHL20180MB33617052818428N,Milbourn,Bryce,714,Chapel Hill,Male,46,0,1,0,1,16442,0,0,1
91CHL20150HL74360258191298N,Hargrove,Lane,390,Chapel Hill,Male,33,143594,1,1,0,7126,0,0,0
40ATL20190AL8928573004222N,Ayarza,Lawana,668,Atlanta,Female,54,132553,1,1,0,11942,0,0,1
40ATL20090DT93355455920104N,Dech,Talia,471,Atlanta,Female,40,140618,1,1,0,1702,0,0,0
61BOS20160PG91277070144754P,Pecinousky,Garrett,782,Boston,Male,30,747,2,1,0,4331,1,1,0
61BOS20070LC1547174015428N,Lannom,Corey,552,Boston,Male,38,131955,1,0,0,16314,0,0,0
40ATL20140SJ59228467649389N,Stouder,Johnathan,501,Atlanta,Male,25,125615,1,1,1,824,0,0,0
61BOS20090SS2243047922717P,Shehorn,Steven,693,Boston,Female,72,90998,2,1,1,4010,1,1,0
61BOS20080SR16045454101484P,Sterbenz,Rudy,527,Boston,Male,58,171,2,1,1,8893,1,1,0
61BOS20120GC9996673897150N,Guerreiro,Carroll,813,Boston,Male,37,2964,3,1,0,1553,1,0,0
61BOS20100RE12613870452762P,Rabago,Erasmo,696,Boston,Male,38,89969,2,1,1,9861,1,1,0
61BOS20080PJ14248507536948N,Pepitone,Jason,599,Boston,Male,35,-209,2,1,0,1693,1,0,0
61BOS20120KB59713986351387N,Korf,Breana,606,Boston,Female,37,52333,1,1,0,2927,0,0,0
91CHL20100ZS93559137484651N,Zuidema,Sammy,598,Chapel Hill,Male,25,125585,2,1,1,2673,0,0,0
61BOS20170GR62474731113054N,Greider,Robbie,501,Boston,Male,24,75436,1,1,0,3348,0,0,0
40ATL20190HT29542544073717N,Hanford,Terry,549,Atlanta,Male,39,124400,1,0,0,8670,0,0,1
40ATL20130TM22486270165820N,Takai,Mickey,839,Atlanta,Male,62,117116,1,1,0,18158,0,0,1
91CHL20190EH29896716613810N,Elcock,Hubert,835,Chapel Hill,Male,51,101,1,1,0,4528,0,0,1
61BOS20140EJ14234287310189N,Echegoyen,Jasper,735,Boston,Male,40,0,1,0,0,6134,0,0,0
61BOS20110SR24748235029860N,Shove,Reynaldo,742,Boston,Male,65,87758,1,1,0,2634,0,0,1
40ATL20120HZ821952524804P,Hercules,Zackary,696,Atlanta,Male,39,50941,2,1,1,13179,1,1,0
91CHL20130FE6709121787636N,Forejt,Emerson,705,Chapel Hill,Male,38,61287,1,0,1,14486,0,0,0
91CHL20100LP20829725808705N,Lindall,Porfirio,663,Chapel Hill,Male,22,74,2,0,0,9381,0,0,0
40ATL20190SF60914625490741N,Stouten,Francisco,749,Atlanta,Male,30,110802,3,0,1,4180,0,0,1
61BOS20130BB62182223091296P,Benston,Bernie,530,Boston,Male,40,579,2,1,1,12232,1,1,0
61BOS20140ZS41849488949332N,Zielke,Sam,645,Boston,Male,60,121743,1,1,0,15318,0,0,1
61BOS20190HS89771619874056N,Haydt,Salvatore,637,Boston,Male,47,98652,1,1,0,5419,0,0,1
61BOS20130FS33031820943478P,Fontus,Solomon,464,Boston,Male,36,392,3,1,0,15440,1,1,0
40ATL20170VJ80535449816424P,Violante,Jessie,513,Atlanta,Female,32,100195,2,1,0,11779,1,1,0
61BOS20130SA32394234827474N,Shiver,Ami,586,Boston,Female,27,345,2,0,0,10939,0,0,0
61BOS20140PN85774662688903N,Plue,Nenita,684,Boston,Female,52,0,3,0,1,8473,1,0,0
61BOS20190MT76382950044659N,Mcgann,Thomasina,787,Boston,Female,47,103623,1,0,0,16913,0,0,1
61BOS20190JM96078794815441N,Janice,Mickie,728,Boston,Female,32,143978,1,1,1,5990,0,0,1
61BOS20120GA50665603620083P,Gronberg,Annette,702,Boston,Female,34,107352,3,1,0,14010,1,1,0
61BOS20120LP41977328976286N,Loiacono,Pasty,424,Boston,Female,30,103148,1,1,0,18249,0,0,0
61BOS20170TT70161122840051N,Tindel,Teddy,591,Boston,Male,27,-2276,1,0,1,2341,0,0,0
91CHL20130MK12168754171951N,Marecki,Kaylee,643,Chapel Hill,Female,30,78,2,0,1,1317,1,0,0
91CHL20150SD41674217500669P,Spaid,Dallas,657,Chapel Hill,Male,36,162,3,1,0,6875,1,1,0
61BOS20170KC77009873312510N,Klaft,Classie,515,Boston,Female,36,105872,1,0,0,15846,0,0,0
61BOS20130VR93555269756674P,Veer,Rick,544,Boston,Male,30,-263,2,1,0,13356,1,1,0
61BOS20160LN68301629353717N,Lolar,Nancee,507,Boston,Female,62,92474,1,1,1,8866,0,0,0
61BOS20110NC78540907253756N,Naito,Chad,616,Boston,Male,40,121338,1,0,1,3164,0,0,0
61BOS20160EJ74390677851435N,Etzel,Jorge,719,Boston,Male,49,50932,1,1,0,12033,0,0,1
61BOS20190FE85859851922785N,Foresta,Emile,804,Boston,Male,42,112568,1,1,0,17188,0,0,1
61BOS20150PR97615379233769N,Py,Robbie,518,Boston,Female,41,125729,1,0,0,15974,0,0,1
91CHL20100DC25228509958404N,Decastro,Chang,642,Chapel Hill,Male,41,104933,1,0,1,18354,0,0,0
61BOS20140MM6442039701203N,Meloche,Mose,549,Boston,Male,53,42344,1,1,1,4404,0,0,0
61BOS20150LL52381019669337P,Livas,Lia,639,Boston,Female,20,794,2,1,0,3662,0,1,0
91CHL20190GC68688041318425N,Gruby,Coleman,648,Chapel Hill,Male,44,67140,1,0,0,480,0,0,1
91CHL20160GD73760695140885P,Ghazi,Demetrice,728,Chapel Hill,Female,30,35748,3,1,1,17838,1,1,0
40ATL20150BV57337231718724N,Burn,Viva,547,Atlanta,Female,22,96372,2,1,0,334,0,0,0
61BOS20140VF74515177030915P,Villacis,Freddy,469,Boston,Male,45,308,2,1,1,11434,1,1,0
61BOS20180BR54720657050752N,Bohr,Raymond,655,Boston,Male,38,112391,2,0,0,15949,0,0,0
40ATL20160RS40935971061442N,Roehrich,Sandy,767,Atlanta,Female,48,73547,1,1,0,712,0,0,1
61BOS20150KL8225510774298N,Keate,Louie,749,Boston,Male,34,182333,1,1,1,56,0,0,0
40ATL20150DB14040415187092N,Dioneff,Bertie,527,Atlanta,Female,39,89929,2,0,0,8682,1,0,0
61BOS20180SW99637197904787P,Soteros,Werner,664,Boston,Male,44,1523,2,1,1,17360,0,1,0
61BOS20120LL72025364689316N,Letourneau,Lydia,601,Boston,Female,36,115343,2,1,0,991,1,0,0
61BOS20140MI82599146345754N,Manship,Ivana,418,Boston,Female,58,117888,1,1,1,3420,0,0,0
40ATL20130RT7114978330958N,Robuck,Timmy,727,Atlanta,Male,31,78711,2,0,0,18573,1,0,0
91CHL20190DC44960377678813N,Darveau,Cora,618,Chapel Hill,Female,41,818,1,1,1,7875,0,0,1
61BOS20080CK41731132484118P,Corridan,Kraig,506,Boston,Male,33,-792,2,1,1,18150,1,1,0
91CHL20140MN42598790865573N,Mileski,Nana,757,Chapel Hill,Female,54,127859,3,0,1,12253,0,0,1
91CHL20190LK91963820107764N,Lother,Kam,638,Chapel Hill,Female,65,107217,1,1,1,3572,0,0,0
61BOS20110ML12959793548370N,Moscrip,Leopoldo,613,Boston,Male,15,99587,1,1,1,3802,0,0,0
91CHL20100OM32862643008881P,Onken,Morris,732,Chapel Hill,Male,43,330,2,1,1,17196,1,1,0
61BOS20140DR37105833130967N,Dunman,Roni,506,Boston,Female,22,587,1,0,0,1932,0,0,0
61BOS20150CL80427137424746N,Chiaminto,Linette,730,Boston,Female,35,0,1,1,1,4617,0,0,1
91CHL20090BL52657368466782N,Bustad,Latricia,553,Chapel Hill,Female,42,-104,3,0,0,15826,1,0,0
61BOS20070SN93368332461572N,Saelens,Nilda,729,Boston,Female,29,197204,1,1,1,9055,0,0,0
91CHL20160WI57591625173947N,Wallen,Ignacio,482,Chapel Hill,Male,41,148995,2,0,1,7949,1,0,0
40ATL20150PT8213802622944N,Pelczar,Tona,588,Atlanta,Female,35,71411,1,1,0,5940,0,0,0
61BOS20180RA64396552690596N,Regulus,Ava,750,Boston,Female,32,1624,1,0,0,10777,0,0,0
40ATL20090LV51378945592260P,Lovell,Victor,635,Atlanta,Male,35,71259,2,1,0,16410,1,1,0
40ATL20110LE97058703682504N,Laduke,Eulalia,902,Atlanta,Female,50,102675,1,1,0,16109,0,0,1
91CHL20110RC70273512595805N,Riojas,Candra,497,Chapel Hill,Female,23,-291,2,0,1,1356,0,0,0
61BOS20090FM65297349977053N,Fipps,Mark,733,Boston,Male,61,123781,1,0,1,11016,0,0,0
40ATL20190CK91629404775917N,Creek,Kendall,753,Atlanta,Female,40,152651,1,1,0,17875,0,0,1
40ATL20100SY32553191963281P,Stoltenberg,Yung,821,Atlanta,Female,23,69793,2,1,0,8272,0,1,0
61BOS20140CL91805601262240N,Cambero,Lan,658,Boston,Female,60,55485,5,0,1,10662,0,0,1
40ATL20190KT49468795175264N,Kaauamo,Theresia,661,Atlanta,Female,40,91468,2,1,0,16509,0,0,1
91CHL20090VC79109844731342P,Vacarro,Clayton,691,Chapel Hill,Male,43,0,2,1,0,14410,1,1,0
61BOS20150ON93078308312174N,Onorati,Nathanael,713,Boston,Male,33,128792,1,0,0,12695,0,0,0
61BOS20190IA61530373686774N,Irr,Abel,643,Boston,Male,56,708,1,1,0,18585,0,0,1
61BOS20170LC74907500476302N,Larue,Chance,594,Boston,Male,32,1107,1,1,0,9078,0,0,0
61BOS20110MF71636582804100N,Mcgahen,Francesco,704,Boston,Male,39,209,1,1,1,10936,0,0,0
91CHL20100ME61264056485586N,Mcghaney,Ethel,699,Chapel Hill,Female,61,704,1,1,1,3402,0,0,0
61BOS20170BD5184362731406N,Bossard,Dee,669,Boston,Male,41,906,1,0,0,11385,0,0,0
40ATL20140RL64663835051303N,Rusert,Lucien,687,Atlanta,Male,36,80522,3,0,0,3593,1,0,0
61BOS20110FH90922243424440N,Flakes,Harry,548,Boston,Male,34,-813,3,0,0,3441,1,0,0
61BOS20140CB22668346647001N,Carlile,Bruno,651,Boston,Male,37,110858,1,1,1,1474,0,0,0
61BOS20100MH86325359191574P,Mallon,Hosea,732,Boston,Male,33,820,2,1,1,13484,1,1,0
91CHL20120SJ88723358960793N,Segelhorst,Joel,527,Chapel Hill,Male,23,410,3,0,0,655,0,0,0
61BOS20130WT73599972439190N,Welter,Todd,515,Boston,Male,30,1061,3,0,0,14705,1,0,0
61BOS20170MJ73730985811614N,Mcmanuis,Juliann,742,Boston,Female,50,160236,1,0,0,69,0,0,1
61BOS20120CO67632904432565P,Clegg,Olinda,806,Boston,Female,35,0,2,1,0,17910,1,1,0
61BOS20140KW50236543321805P,Krugman,Werner,655,Boston,Male,41,215,2,1,1,5182,1,1,0
91CHL20090MC79998603713753N,Millraney,Claudette,454,Chapel Hill,Female,37,46498,1,1,1,7495,0,0,0
40ATL20190FE6345904317666N,Fluck,Eugenio,559,Atlanta,Male,33,94308,1,1,1,17738,0,0,1
40ATL20130BV1924473949898N,Boglioli,Valorie,569,Atlanta,Female,20,67146,1,1,0,10333,0,0,0
61BOS20100BC41956992034983N,Brocious,Columbus,642,Boston,Male,48,1143,2,1,0,2198,1,0,0
61BOS20090WK25399036093838N,Wehling,Kerry,549,Boston,Male,31,82973,1,1,1,11405,0,0,0
61BOS20090SS94096382315153N,Sutcliffe,Sylvester,612,Boston,Male,33,-1229,1,1,1,10723,0,0,0
61BOS20130TL11558689106853P,Tepler,Leslie,593,Boston,Male,31,-88,2,1,0,8839,1,1,0
40ATL20140FE5217130858003N,Fett,Elodia,772,Atlanta,Female,45,106462,2,1,0,2502,0,0,1
61BOS20070OG87847506702186N,Olveira,Gayle,558,Boston,Male,41,1096,2,0,0,9154,1,0,0
61BOS20150DM72579472424687P,Decristoforo,Mignon,688,Boston,Female,37,0,2,1,1,8458,1,1,0
40ATL20180GN46658573086575N,Gallicchio,Nina,795,Atlanta,Female,59,118767,3,1,0,6132,0,0,1
61BOS20170DM99091817014865N,Dechico,Micaela,620,Boston,Female,44,125,2,0,0,7733,1,0,0
61BOS20150KL17328998464030N,Kotz,Lynn,752,Boston,Male,46,101256,1,0,0,5665,0,0,0
61BOS20120SA8355955892752N,Seuss,Aldo,627,Boston,Male,54,95570,2,0,1,11691,1,0,0
40ATL20190MR39378608407720N,Majica,Ruthie,611,Atlanta,Female,40,110123,1,1,0,8117,0,0,1
40ATL20190CO66932550864362N,Cypret,Orlando,398,Atlanta,Male,38,85508,2,0,0,11640,0,0,1
91CHL20150PA99786002882735N,Poudrier,Ardath,678,Chapel Hill,Female,39,101906,1,0,0,3250,0,0,0
91CHL20100LR24578496722116N,Lipsitz,Raguel,571,Chapel Hill,Female,34,122456,2,1,1,434,1,0,0
61BOS20190KT35741664994105N,Kusch,Towanda,744,Boston,Female,40,82562,1,0,0,2074,0,0,1
40ATL20160HE814132934069N,Harlow,Esteban,604,Atlanta,Male,29,129553,1,1,1,15676,0,0,0
91CHL20110KT34287580642090N,Kluttz,Trisha,624,Chapel Hill,Female,39,-333,1,1,1,13030,0,0,0
61BOS20120ER816819034211N,Ehrmann,Rickie,511,Boston,Male,58,457,3,1,1,15954,0,0,1
61BOS20130EI71076518295951N,Eberhardt,Isabelle,568,Boston,Female,38,224,1,1,0,14611,0,0,0
91CHL20150KR25553352882006N,Kanoa,Rashad,730,Chapel Hill,Male,33,0,1,0,0,8574,0,0,0
40ATL20110FA9004169088819N,Fitcheard,Adan,766,Atlanta,Male,26,99709,2,0,1,18576,0,0,0
61BOS20180FE37630761086084P,Fafard,Ernest,514,Boston,Male,39,-725,2,1,1,6479,0,1,0
61BOS20140HC45900374721277P,Harles,Cary,646,Boston,Female,43,138362,2,1,1,18606,1,1,0
61BOS20130CO59974939776329P,Colden,Olen,380,Boston,Male,37,-479,2,1,1,11439,1,1,0
61BOS20190FS39355680771962N,Forber,Shane,608,Boston,Female,60,-630,2,1,0,615,0,0,1
91CHL20190LC59425900980347N,Levenhagen,Charlie,639,Chapel Hill,Male,47,50611,1,0,1,17891,0,0,1
61BOS20170SD42321987864409N,Schiaffino,Donny,603,Boston,Male,56,95019,2,1,1,12044,0,0,1
61BOS20110DB26680937673865N,Diefenbach,Brendan,508,Boston,Male,36,159558,2,1,1,3017,1,0,0
40ATL20120BB54618241510975N,Brasure,Ben,640,Atlanta,Male,49,113539,1,0,0,10121,0,0,0
91CHL20180GA31009709882916N,Geissler,Antione,624,Chapel Hill,Male,42,-361,2,0,0,7756,0,0,0
91CHL20160SM32598838882039N,Simpelo,Maryann,661,Chapel Hill,Female,40,883,1,1,1,15244,0,0,0
91CHL20070HL66542960916106N,Henneke,Lynn,474,Chapel Hill,Male,39,137789,1,0,1,11420,0,0,0
91CHL20190RT20437204462773N,Rustin,Tracy,629,Chapel Hill,Male,51,85086,1,0,0,13258,0,0,1
40ATL20180KS6230807297637N,Krenn,Sunday,706,Atlanta,Female,33,101782,3,1,0,12656,0,0,1
40ATL20120SH39481116635134N,Stansberry,Harris,536,Atlanta,Male,30,129150,1,0,0,8105,0,0,0
61BOS20180TC26286609524077N,Telleria,Cortez,566,Boston,Male,71,152579,1,0,1,4108,0,0,0
